rank	word	ipa
903	código	/ˈkoðiɣo/
904	dolor	/doˈloɾ/
905	efecto	/eˈfekto/
906	habría	/aˈβɾia/
907	isla	/ˈisla/
908	izquierda	/iskiˈeɾða/
909	mente	/ˈmente/
910	odio	/ˈoðjo/
911	perú	/peˈɾu/
912	pienso	/ˈpjenso/
913	post	/post/
914	presencia	/pɾeˈsensja/
915	profesor	/pɾofeˈsoɾ/
916	quizás	/kiˈsas/
917	respeto	/resˈpeto/
918	ropa	/ˈropa/
919	serán	/seˈɾan/
920	siguen	/ˈsiɣen/
921	sr	/sr/
922	tenían	/teˈnian/
923	totalmente	/totalˈmente/
