rank	word	frequency
1201	ciento	4.85
1202	comercial	4.85
1203	copa	4.85
1204	creen	4.85
1205	cuyo	4.85
1206	efectos	4.85
1207	elección	4.85
1208	empezó	4.85
1209	exterior	4.85
1210	habitantes	4.85
1211	hermanos	4.85
1212	honor	4.85
1213	instituciones	4.85
1214	llamar	4.85
1215	mejorar	4.85
1216	miguel	4.85
1217	morir	4.85
1218	oficiales	4.85
1219	parque	4.85
1220	pequeños	4.85
1221	podrían	4.85
1222	siente	4.85
1223	tanta	4.85
1224	triste	4.85
1225	alguno	4.84
1226	contrato	4.84
1227	david	4.84
1228	debate	4.84
1229	dieron	4.84
1230	diseño	4.84
1231	electoral	4.84
1232	hogar	4.84
1233	mando	4.84
1234	niña	4.84
1235	películas	4.84
1236	quedan	4.84
1237	recibir	4.84
1238	rojo	4.84
1239	similar	4.84
1240	vemos	4.84
1241	vienen	4.84
1242	ambas	4.83
1243	argentino	4.83
1244	azul	4.83
1245	carne	4.83
1246	cumplir	4.83
1247	dices	4.83
1248	discurso	4.83
1249	encanta	4.83
1250	entrevista	4.83
1251	españoles	4.83
1252	estudiar	4.83
1253	expresión	4.83
1254	extraño	4.83
1255	flores	4.83
1256	funciona	4.83
1257	garcía	4.83
1258	increíble	4.83
1259	inicio	4.83
1260	juez	4.83
1261	maestro	4.83
1262	marco	4.83
1263	materia	4.83
1264	ninguno	4.83
1265	oposición	4.83
1266	registro	4.83
1267	teatro	4.83
1268	términos	4.83
1269	vecinos	4.83
1270	asamblea	4.82
1271	caja	4.82
1272	canciones	4.82
1273	detalles	4.82
1274	dijeron	4.82
1275	empleo	4.82
1276	enfermedad	4.82
1277	escena	4.82
1278	estructura	4.82
1279	fines	4.82
1280	golpe	4.82
1281	grado	4.82
1282	hacemos	4.82
1283	incluyendo	4.82
1284	lleno	4.82
1285	lópez	4.82
1286	matrimonio	4.82
1287	misión	4.82
1288	pan	4.82
1289	parecer	4.82
1290	participar	4.82
1291	peligro	4.82
1292	pelo	4.82
1293	presión	4.82
1294	sección	4.82
1295	sos	4.82
1296	tercera	4.82
1297	venir	4.82
1298	vio	4.82
1299	amiga	4.81
1300	batalla	4.81
1301	café	4.81
1302	carácter	4.81
1303	deberían	4.81
1304	distintos	4.81
1305	duro	4.81
1306	eh	4.81
1307	estación	4.81
1308	evento	4.81
1309	francés	4.81
1310	gana	4.81
1311	google	4.81
1312	independiente	4.81
1313	ingresos	4.81
1314	intento	4.81
1315	japón	4.81
1316	lunes	4.81
1317	novia	4.81
1318	ofrece	4.81
1319	operación	4.81
1320	papa	4.81
1321	perdón	4.81
1322	planta	4.81
1323	primeras	4.81
1324	públicas	4.81
1325	sirve	4.81
1326	tantos	4.81
1327	teoría	4.81
1328	volvió	4.81
1329	baño	4.80
1330	características	4.80
1331	compañeros	4.80
1332	compra	4.80
1333	concepto	4.80
1334	dicha	4.80
1335	diputados	4.80
1336	directo	4.80
1337	distintas	4.80
1338	documentos	4.80
1339	enorme	4.80
1340	exactamente	4.80
1341	festival	4.80
1342	generales	4.80
1343	gobernador	4.80
1344	hotel	4.80
1345	lograr	4.80
1346	matar	4.80
1347	mismas	4.80
1348	necesitamos	4.80
1349	necesitan	4.80
1350	ocurre	4.80
1351	período	4.80
1352	piel	4.80
1353	planes	4.80
1354	pocas	4.80
1355	principalmente	4.80
1356	raro	4.80
1357	responsable	4.80
1358	rusia	4.80
1359	tamaño	4.80
1360	abierto	4.79
1361	afuera	4.79
1362	alemania	4.79
1363	blanca	4.79
1364	clave	4.79
1365	comienza	4.79
1366	compartir	4.79
1367	considera	4.79
1368	crítica	4.79
1369	dejado	4.79
1370	demanda	4.79
1371	dias	4.79
1372	diversos	4.79
1373	ecuador	4.79
1374	escuelas	4.79
1375	estará	4.79
1376	hagan	4.79
1377	hará	4.79
1378	jugadores	4.79
1379	luna	4.79
1380	ojo	4.79
1381	personaje	4.79
1382	piso	4.79
1383	pobres	4.79
1384	pro	4.79
1385	quizá	4.79
1386	recién	4.79
1387	reina	4.79
1388	representa	4.79
1389	salvo	4.79
1390	sábado	4.79
1391	tercer	4.79
1392	tierras	4.79
1393	tuvieron	4.79
1394	velocidad	4.79
1395	visión	4.79
1396	áreas	4.79
1397	alcalde	4.78
1398	altura	4.78
1399	anteriores	4.78
1400	asuntos	4.78
1401	candidato	4.78
1402	comentario	4.78
1403	competencia	4.78
1404	crees	4.78
1405	debajo	4.78
1406	diversas	4.78
1407	empieza	4.78
1408	escribió	4.78
1409	estan	4.78
1410	estaría	4.78
